"red"	"sienna3"	"mediumpurple3"	"black"	"greenyellow"	"plum1"	"cyan"	"lightsteelblue1"	"magenta"	"tan"	"darkgrey"	"darkgreen"	"lightgreen"	"darkolivegreen"	"orangered4"	"paleturquoise"	"steelblue"	"ivory"	"skyblue"	"blue"	"darkturquoise"	"purple"	"white"	"grey60"	"lightcyan"	"lightyellow"	"orange"	"lightcyan1"	"brown"	"green"	"violet"	"skyblue3"	"yellowgreen"	"darkmagenta"	"royalblue"	"darkorange"	"darkred"	"pink"
"Astrocyte"	1	0.00117142349646963	1	1	1	1	1	0.0034904626238819	1	9.45342826381668e-07	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Bcells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"CA1_Pyramidal"	1	1	1	1	1	1.24505362928836e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9.22989859671034e-06	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00224107617554774
"CA1.Pyramidal"	1	1	1	1	1	1.24505362928836e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9.22989859671034e-06	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00224107617554774
"CD8Tcells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Basket_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Bergmann_Neuroexpresso"	1	0.00479748019992858	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Golgi_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Granule_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Microglia_Neuroexpresso"	1	1	2.17109646504586e-33	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0189767079173607	1	1	6.53418055754965e-07	1	1
"Cerebellum_MicrogliaActivation_Neuroexpresso"	1	1	5.12799142587182e-10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.16816152126205e-09	1	1
"Cerebellum_MicrogliaDeactivation_Neuroexpresso"	1	1	7.4076611239817e-42	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000572654308280037	1	1	1	1	1
"Cerebellum_Oligo_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.3038637137745e-18	1	1	1	1	1	1	1	1	1
"Cerebellum_Purkinje_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cortex_Astrocyte_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cortex_Endothelial_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.17880597391285e-13	1	1	1	1	1	1	1	1	1	7.23777270269943e-32	1	1	1	1.22738691674456e-06	1
"Cortex_GabaPV_Neuroexpresso"	1	0.00327797365701781	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cortex_GabaRelnCalb_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cortex_GabaVIPReln_Neuroexpresso"	1	0.00173006643302863	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cortex_Microglia_Neuroexpresso"	1	1	5.46397243374794e-42	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.79843633761605e-06	1	1
"Cortex_MicrogliaActivation_Neuroexpresso"	1	1	3.46857717431217e-18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.77883203348939e-10	1	1
"Cortex_MicrogliaDeactivation_Neuroexpresso"	1	1	2.7577121126589e-56	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cortex_Oligo_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8.33502260619538e-58	1	1	1	1	1	1	1	1	1
"Cortex_OligoPrecursors_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0258774227089455	1	1	1	1	1	1	1	1	1
"Cortex_Pyramidal_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cytotoxiccells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"D_NEuronCom1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"D_NEuronCom2"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"D_NEuronCom3"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"D_NEuronCom4"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000138623188603665	1	1	1	1	1	1	1	1	1	1
"D_NEuronCom5"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"D_NEuronCom6"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"D_NEuronCom7"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"DAMANIS_MICROGLIA"	1	1	9.10302881643351e-13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"DARMANIS_ASTROCYES"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"DARMANIS_ENDOTHELIAL"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4.31170485408607e-07	1	1	1	1	1
"DARMANIS_FETAL1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"DARMANIS_FETAL2"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"DARMANIS_MIXTURENEUASTRO"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"DARMANIS_MIXTURENEUOLIGOPC"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"DARMANIS_NEUROND"	1	1	1	0.0303056966883495	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"DARMANIS_OLIGO"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6.16785974570613e-20	1	1	1	1	1	1	1	1	1
"DARMANIS_OPCS"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.27369929182704e-08	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Dopaminergic_Neuron_SN"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7.47426319798021e-05	1	1	1	1
"Dopaminergic_Neuron_VTA"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Dopaminergic_Neuron"	1	1	1	1	1	1	1	1	1	1	1.09767604130415e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Dopaminergic"	1	1	1	1	1	1	1	1	1	1	1.09767604130415e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7.47426319798021e-05	1	1	1	1
"DopaminergicNeuron"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Endothelial"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.91386388206935e-06	1	1	1	1	1	1	1	1	1	1.46937786315224e-23	1	1	1	0.000105675982283139	1
"Eosinophils"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Ependymal"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Ex1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.26036872761975e-33	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Ex2"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0366707804466923	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Ex3"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Ex4"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Ex5"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Ex6"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.44685631054744e-07	1	1	1	1	1	1	1	1	1	1
"Ex7"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000977552562050196	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Ex8"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.7815324289135e-05	1	1	1	1	1	1	1	1	1	1
"GABASST_HIPPD_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Hippocampus_Astrocyte_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Hippocampus_DentateGranule_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Hippocampus_GabaSSTRein_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Hippocampus_MicrogliaActivation_Neuroexpresso"	1	1	2.73906467580793e-11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000378975013296372	1	1	1	1	1	1	1	1	1	1	1	1	1.44812014799384e-09	1	1
"Hippocampus_MicrogliaDeactivation_Neuroexpresso"	1	1	1.5388131076545e-41	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0352561747605421	1	1	1	1	1
"Hippocampus_Oligo_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4.11348926051011e-28	1	1	1	1	1	1	1	1	1
"Hippocampus_Pyramidal_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Hyppocampus_Microglia_Neuroexpresso"	1	1	2.25059383519987e-32	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0414288799401412	1	1	5.51517548910867e-09	1	1
"iDC"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"In1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0194642553007647	1	1	1	1	1	1	1	1	1	1
"In2"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0281838558693134	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"In3"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"In4"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0488516796842248	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"In5"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"In6"	1	0.0336418603397821	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"In7"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"In8"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Interneuron"	1	3.46769083720914e-08	1	0.0479341687388248	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00130501157337825	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Macrophages"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Mastcells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Microglia"	1	1	1.80440510164804e-106	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00125577810354448	1	1
"Mural"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7.23467999949936e-26	1
"NaturalKillers"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuroexpress0_Cortex_Layer.2.3.Pyra"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuroexpresso_Cortex_Laye.6aPyra"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuroexpresso_Cortex_Layer4Pyra"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuroexpresso_CortexD_Endothelial"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuroexpresso_CortexD_GabaPV"	1	0.00677085520071414	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuroexpresso_CortexD_GabaRelnCalb"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuroexpresso_CortexD_GabaVIPReln"	1	0.0440544973701983	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuroexpresso_CortexD_Layer6bPyra"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuroexpresso_CortexD_Pyramidal_Glt_25d2"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuroexpresso_CortexD_Pyramidal_S100a10"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuroexpresso_CortexD_PyramidalCorticoThalam"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuron_Dopaminergic_SNigra"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuron_Dopaminergic_VTA"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuron_Dopaminergic"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuron_Interneuron"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuron_Interneuton"	1	3.46769083720914e-08	1	0.0479341687388248	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00130501157337825	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuron_Pyramidal_CA1"	1	1	1	1	1	1.24505362928836e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9.22989859671034e-06	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00224107617554774
"Neuron_Pyramidal_S1"	1	1	1	0.000964795304259363	1	2.10005718867901e-09	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000462444618882986	1	1	1	1	1	1	1	1	1	1
"Neuron.Ex1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuron.Ex2"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuron.Ex3"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuron.Ex4"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuron.Ex5"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuron.Ex6"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuron.Ex7"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuron.Ex8"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuron.In1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuron.In2"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuron.In3"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuron.In4"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuron.In5"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuron.In6"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuron.In7"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuron.In8"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neutrophils"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Oligodendrocyte"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.75978644698689e-74	1	1	1	1	1	1	1	1	1
"Pyramidal_CA1"	1	1	1	1	1	1.24505362928836e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9.22989859671034e-06	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00224107617554774
"Pyramidal_S1"	1	1	1	0.000964795304259363	1	2.10005718867901e-09	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000462444618882986	1	1	1	1	1	1	1	1	1	1
"PyramidalThy_HIPPD_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"S1_Pyramidal"	1	1	1	0.000964795304259363	1	2.10005718867901e-09	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000462444618882986	1	1	1	1	1	1	1	1	1	1
"S1.Pyramidal"	1	1	1	0.000964795304259363	1	2.10005718867901e-09	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000462444618882986	1	1	1	1	1	1	1	1	1	1
"SN_Dopaminergic"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"SN_DopaminergicNeuron"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Tcells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Tcm"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Tem"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Tfh"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Th1cells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Th2cells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Thelpercells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"VTA_Dopaminergic"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"VTA_DopaminergicNeuron"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
